PositronV3.2 BOM,,,,,,,,,
License: CC BY,,,,Positron V3 intro video: https://www.youtube.com/watch?v=X_QLxTVtyng ,,,,,
"If there is any error, missing parts, or recommendations, please email kralyn3d@gmail.com",,,,Prices may flucuate and not be accurate,,,,,
"All amazon links are affiliates, ",,,,,,,,,
,,,,,,,,,
Electronics,,,,,,,,,
Number,Name,Purpose/descripton,pcs needed,Link Primary,Cost (Primary Links),Link Alt (Cheap but slow),Cost(Cheap but slow),Total Cost: (Cheaper Link),Notes:
,SKR PICO,Control board,1,https://amzn.to/3Nm50Lj,40.99,https://www.biqu.equipment/products/btt-skr-pico-v1-0,28.98 (Sale),28.98,
,RPI/Orange Pi ,Raspberry pi zero 2W,Pick one,https://www.amazon.com/Raspberry-Zero-Bluetooth-RPi-2W/dp/B09LH5SBPS,TOO EXPENSIVE Right now,https://www.adafruit.com/product/5291,15?,,PLEASE FIND CHEAP SOURCE! Buy at MSRP
,,Raspberry pi 4,Pick One,https://amzn.to/3lxtN37,TOO EXPENSIVE Right now,https://www.adafruit.com/product/4295,30?,15,PLEASE FIND CHEAP SOURCE! Buy at MSRP
,,Raspberry pi 3,Pick One,https://www.amazon.com/Raspberry-Pi-3-Model-B/dp/B082QN6L1N,TOO EXPENSIVE Right now,https://www.adafruit.com/product/3055,35?,,PLEASE FIND CHEAP SOURCE! Buy at MSRP
,Nema 17 20mm ,X/Y motor,2,https://amzn.to/3G3fPQb,29.99,https://www.aliexpress.com/item/1005001303445983,10.71,10.71,16Ncm 
,Nema 14 28mm,Z Motor,1,https://amzn.to/3Nngkab,21.65,https://www.aliexpress.com/item/1005002724822207,6.36,6.36,11Ncm
,Nema 14 Round,Extruder Motor,1,https://amzn.to/3NmFV35,20.99,https://www.aliexpress.com/item/1005002509418988,16.89,16.89,FYSETC 3D Printer Parts 36mm Motor Extruder Stepper Motor 1.8 Angle 0.5A
,3.5in TFT GPIO,Touch Screen,1,https://amzn.to/3wDS78P,22.79,https://www.aliexpress.com/item/4000213494900,2.99,2.99,
,IDC 10 pin socket 2.54,Touch screen connect,1,https://amzn.to/3G5ufPU,5.99,https://www.aliexpress.com/item/1005001400147026,0.61,0.61,
,IDC 10 pin Cable 2.54,Touch screen power transport,1,https://amzn.to/3LwD2LN,7.99,https://www.aliexpress.com/item/3256801318866388,0.41,0.41,
